instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name
58.0,2011-02-27,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.343478,0.351109,0.68,0.125248,694.0,1708.0,2402.0,Spring
59.0,2011-02-28,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.407273,0.400118,0.876364,0.289686,81.0,1365.0,1446.0,Spring
60.0,2011-03-01,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.266667,0.263879,0.535,0.216425,137.0,1714.0,1851.0,Spring
61.0,2011-03-02,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0.335,0.320071,0.449583,0.307833,231.0,1903.0,2134.0,Spring
62.0,2011-03-03,1.0,0.0,3.0,0.0,4.0,1.0,1.0,0.198333,0.200133,0.318333,0.225754,123.0,1562.0,1685.0,Spring
63.0,2011-03-04,1.0,0.0,3.0,0.0,5.0,1.0,2.0,0.261667,0.255679,0.610417,0.203346,214.0,1730.0,1944.0,Spring
64.0,2011-03-05,1.0,0.0,3.0,0.0,6.0,0.0,2.0,0.384167,0.378779,0.789167,0.251871,640.0,1437.0,2077.0,Spring
65.0,2011-03-06,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.376522,0.366252,0.948261,0.343287,114.0,491.0,605.0,Spring
66.0,2011-03-07,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.261739,0.238461,0.551304,0.341352,244.0,1628.0,1872.0,Spring
67.0,2011-03-08,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.2925,0.3024,0.420833,0.12065,316.0,1817.0,2133.0,Spring
68.0,2011-03-09,1.0,0.0,3.0,0.0,3.0,1.0,2.0,0.295833,0.286608,0.775417,0.22015,191.0,1700.0,1891.0,Spring
69.0,2011-03-10,1.0,0.0,3.0,0.0,4.0,1.0,3.0,0.389091,0.385668,0.20468725,0.261877,46.0,577.0,623.0,Spring
70.0,2011-03-11,1.0,0.0,3.0,0.0,5.0,1.0,2.0,0.316522,0.305,0.649565,0.23297,247.0,1730.0,1977.0,Spring
71.0,2011-03-12,1.0,0.0,3.0,0.0,6.0,0.0,1.0,0.329167,0.32575,0.594583,0.220775,724.0,1408.0,2132.0,Spring
72.0,2011-03-13,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.384348,0.380091,0.527391,0.270604,982.0,1435.0,2417.0,Spring
73.0,2011-03-14,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.325217,0.332,0.496957,0.136926,359.0,1687.0,2046.0,Spring
74.0,2011-03-15,1.0,0.0,3.0,0.0,2.0,1.0,2.0,0.317391,0.318178,0.655652,0.184309,289.0,1767.0,2056.0,Spring
75.0,2011-03-16,1.0,0.0,3.0,0.0,3.0,1.0,2.0,0.365217,0.36693,0.776522,0.203117,321.0,1871.0,2192.0,Spring
76.0,2011-03-17,1.0,0.0,3.0,0.0,4.0,1.0,1.0,0.415,0.410333,0.602917,0.209579,424.0,2320.0,2744.0,Spring
77.0,2011-03-18,1.0,0.0,3.0,0.0,5.0,1.0,1.0,0.54,0.527009,0.525217,0.231017,884.0,2355.0,3239.0,Spring
78.0,2011-03-19,1.0,0.0,3.0,0.0,6.0,0.0,1.0,0.4725,0.466525,0.379167,0.368167,1424.0,1693.0,3117.0,Spring
79.0,2011-03-20,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.3325,0.32575,0.47375,0.207721,1047.0,1424.0,2471.0,Spring
80.0,2011-03-21,2.0,0.0,3.0,0.0,1.0,1.0,2.0,0.430435,0.409735,0.737391,0.288783,401.0,1676.0,2077.0,Summer
81.0,2011-03-22,2.0,0.0,3.0,0.0,2.0,1.0,1.0,0.441667,0.440642,0.624583,0.22575,460.0,2243.0,2703.0,Summer
82.0,2011-03-23,2.0,0.0,3.0,0.0,3.0,1.0,2.0,0.346957,0.337939,0.839565,0.234261,203.0,1918.0,2121.0,Summer
83.0,2011-03-24,2.0,0.0,3.0,0.0,4.0,1.0,2.0,0.285,0.270833,0.805833,0.243787,166.0,1699.0,1865.0,Summer
84.0,2011-03-25,2.0,0.0,3.0,0.0,5.0,1.0,1.0,0.264167,0.256312,0.495,0.230725,300.0,1910.0,2210.0,Summer
85.0,2011-03-26,2.0,0.0,3.0,0.0,6.0,0.0,1.0,0.265833,0.257571,0.394167,0.209571,981.0,1515.0,2496.0,Summer
86.0,2011-03-27,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.253043,0.250339,0.493913,0.1843,472.0,1221.0,1693.0,Summer
87.0,2011-03-28,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.264348,0.257574,0.302174,0.212204,222.0,1806.0,2028.0,Summer
88.0,2011-03-29,2.0,0.0,3.0,0.0,2.0,1.0,1.0,0.3025,0.292908,0.314167,0.226996,317.0,2108.0,2425.0,Summer
89.0,2011-03-30,2.0,0.0,3.0,0.0,3.0,1.0,2.0,0.3,0.29735,0.646667,0.172888,168.0,1368.0,1536.0,Summer
90.0,2011-03-31,2.0,0.0,3.0,0.0,4.0,1.0,3.0,0.268333,0.257575,0.918333,0.217646,179.0,1506.0,1685.0,Summer
91.0,2011-04-01,2.0,0.0,4.0,0.0,5.0,1.0,2.0,0.3,0.283454,0.68625,0.258708,307.0,1920.0,2227.0,Summer
92.0,2011-04-02,2.0,0.0,4.0,0.0,6.0,0.0,2.0,0.315,0.315637,0.65375,0.197146,898.0,1354.0,2252.0,Summer
93.0,2011-04-03,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.378333,0.378767,0.48,0.182213,1651.0,1598.0,3249.0,Summer
94.0,2011-04-04,2.0,0.0,4.0,0.0,1.0,1.0,1.0,0.573333,0.542929,0.42625,0.38061125,734.0,2381.0,3115.0,Summer
95.0,2011-04-05,2.0,0.0,4.0,0.0,2.0,1.0,2.0,0.414167,0.39835,0.642083,0.38061125,167.0,1628.0,1795.0,Summer
96.0,2011-04-06,2.0,0.0,4.0,0.0,3.0,1.0,1.0,0.390833,0.387608,0.470833,0.263063,413.0,2395.0,2808.0,Summer
97.0,2011-04-07,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.4375,0.433696,0.602917,0.162312,571.0,2570.0,3141.0,Summer
98.0,2011-04-08,2.0,0.0,4.0,0.0,5.0,1.0,2.0,0.335833,0.324479,0.83625,0.226992,172.0,1299.0,1471.0,Summer
99.0,2011-04-09,2.0,0.0,4.0,0.0,6.0,0.0,2.0,0.3425,0.341529,0.8775,0.133083,879.0,1576.0,2455.0,Summer
100.0,2011-04-10,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.426667,0.426737,0.8575,0.146767,1188.0,1707.0,2895.0,Summer
101.0,2011-04-11,2.0,0.0,4.0,0.0,1.0,1.0,2.0,0.595652,0.565217,0.716956,0.324474,855.0,2493.0,3348.0,Summer
102.0,2011-04-12,2.0,0.0,4.0,0.0,2.0,1.0,2.0,0.5025,0.493054,0.739167,0.274879,257.0,1777.0,2034.0,Summer
103.0,2011-04-13,2.0,0.0,4.0,0.0,3.0,1.0,2.0,0.4125,0.417283,0.819167,0.250617,209.0,1953.0,2162.0,Summer
104.0,2011-04-14,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.4675,0.462742,0.540417,0.1107,529.0,2738.0,3267.0,Summer
105.0,2011-04-15,2.0,0.0,4.0,0.0,5.0,0.0,1.0,0.446667,0.441913,0.67125,0.226375,642.0,2484.0,3126.0,Summer
106.0,2011-04-16,2.0,0.0,4.0,0.0,6.0,0.0,3.0,0.430833,0.425492,0.888333,0.340808,121.0,674.0,795.0,Summer
107.0,2011-04-17,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.456667,0.445696,0.479583,0.303496,1558.0,2186.0,3744.0,Summer
108.0,2011-04-18,2.0,0.0,4.0,0.0,1.0,1.0,1.0,0.5125,0.503146,0.5425,0.163567,669.0,2760.0,3429.0,Summer
109.0,2011-04-19,2.0,0.0,4.0,0.0,2.0,1.0,2.0,0.505833,0.489258,0.665833,0.157971,409.0,2795.0,3204.0,Summer
110.0,2011-04-20,2.0,0.0,4.0,0.0,3.0,1.0,1.0,0.595,0.564392,0.614167,0.241925,613.0,3331.0,3944.0,Summer
111.0,2011-04-21,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.459167,0.453892,0.407083,0.325258,745.0,3444.0,4189.0,Summer
112.0,2011-04-22,2.0,0.0,4.0,0.0,5.0,1.0,2.0,0.336667,0.321954,0.729583,0.219521,177.0,1506.0,1683.0,Summer
113.0,2011-04-23,2.0,0.0,4.0,0.0,6.0,0.0,2.0,0.46,0.450121,0.887917,0.230725,1462.0,2574.0,4036.0,Summer
114.0,2011-04-24,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.581667,0.551763,0.810833,0.192175,1710.0,2481.0,4191.0,Summer
115.0,2011-04-25,2.0,0.0,4.0,0.0,1.0,1.0,1.0,0.606667,0.5745,0.776667,0.185333,773.0,3300.0,4073.0,Summer
116.0,2011-04-26,2.0,0.0,4.0,0.0,2.0,1.0,1.0,0.631667,0.594083,0.729167,0.3265,678.0,3722.0,4400.0,Summer
117.0,2011-04-27,2.0,0.0,4.0,0.0,3.0,1.0,2.0,0.62,0.575142,0.835417,0.3122,547.0,3325.0,3872.0,Summer
118.0,2011-04-28,2.0,0.0,4.0,0.0,4.0,1.0,2.0,0.6175,0.578929,0.700833,0.320908,569.0,3489.0,4058.0,Summer
119.0,2011-04-29,2.0,0.0,4.0,0.0,5.0,1.0,1.0,0.51,0.497463,0.457083,0.240063,878.0,3717.0,4595.0,Summer
120.0,2011-04-30,2.0,0.0,4.0,0.0,6.0,0.0,1.0,0.4725,0.464021,0.503333,0.235075,1965.0,3347.0,5312.0,Summer
121.0,2011-05-01,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.451667,0.448204,0.762083,0.106354,1138.0,2213.0,3351.0,Summer
122.0,2011-05-02,2.0,0.0,5.0,0.0,1.0,1.0,2.0,0.549167,0.532833,0.73,0.183454,847.0,3554.0,4401.0,Summer
123.0,2011-05-03,2.0,0.0,5.0,0.0,2.0,1.0,2.0,0.616667,0.582079,0.697083,0.342667,603.0,3848.0,4451.0,Summer
124.0,2011-05-04,2.0,0.0,5.0,0.0,3.0,1.0,2.0,0.414167,0.40465,0.737083,0.328996,255.0,2378.0,2633.0,Summer
125.0,2011-05-05,2.0,0.0,5.0,0.0,4.0,1.0,1.0,0.459167,0.441917,0.444167,0.295392,614.0,3819.0,4433.0,Summer
126.0,2011-05-06,2.0,0.0,5.0,0.0,5.0,1.0,1.0,0.479167,0.474117,0.59,0.228246,894.0,3714.0,4608.0,Summer
127.0,2011-05-07,2.0,0.0,5.0,0.0,6.0,0.0,1.0,0.52,0.512621,0.54125,0.16045,1612.0,3102.0,4714.0,Summer
128.0,2011-05-08,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.528333,0.518933,0.631667,0.0746375,1401.0,2932.0,4333.0,Summer
129.0,2011-05-09,2.0,0.0,5.0,0.0,1.0,1.0,1.0,0.5325,0.525246,0.58875,0.176,664.0,3698.0,4362.0,Summer
130.0,2011-05-10,2.0,0.0,5.0,0.0,2.0,1.0,1.0,0.5325,0.522721,0.489167,0.115671,694.0,4109.0,4803.0,Summer
131.0,2011-05-11,2.0,0.0,5.0,0.0,3.0,1.0,1.0,0.5425,0.5284,0.632917,0.120642,550.0,3632.0,4182.0,Summer
132.0,2011-05-12,2.0,0.0,5.0,0.0,4.0,1.0,1.0,0.535,0.523363,0.7475,0.189667,695.0,4169.0,4864.0,Summer
133.0,2011-05-13,2.0,0.0,5.0,0.0,5.0,1.0,2.0,0.5125,0.4943,0.863333,0.179725,692.0,3413.0,4105.0,Summer
134.0,2011-05-14,2.0,0.0,5.0,0.0,6.0,0.0,2.0,0.520833,0.500629,0.9225,0.13495,902.0,2507.0,3409.0,Summer
135.0,2011-05-15,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.5625,0.536,0.867083,0.152979,1582.0,2971.0,4553.0,Summer
136.0,2011-05-16,2.0,0.0,5.0,0.0,1.0,1.0,1.0,0.5775,0.550512,0.787917,0.126871,773.0,3185.0,3958.0,Summer
137.0,2011-05-17,2.0,0.0,5.0,0.0,2.0,1.0,2.0,0.561667,0.538529,0.837917,0.277354,678.0,3445.0,4123.0,Summer
138.0,2011-05-18,2.0,0.0,5.0,0.0,3.0,1.0,2.0,0.55,0.527158,0.87,0.201492,536.0,3319.0,3855.0,Summer
139.0,2011-05-19,2.0,0.0,5.0,0.0,4.0,1.0,2.0,0.530833,0.510742,0.829583,0.108213,735.0,3840.0,4575.0,Summer
140.0,2011-05-20,2.0,0.0,5.0,0.0,5.0,1.0,1.0,0.536667,0.529042,0.719583,0.125013,909.0,4008.0,4917.0,Summer
141.0,2011-05-21,2.0,0.0,5.0,0.0,6.0,0.0,1.0,0.6025,0.571975,0.626667,0.12065,2258.0,3547.0,5805.0,Summer
142.0,2011-05-22,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.604167,0.5745,0.749583,0.148008,1576.0,3084.0,4660.0,Summer
143.0,2011-05-23,2.0,0.0,5.0,0.0,1.0,1.0,2.0,0.631667,0.590296,0.81,0.233842,836.0,3438.0,4274.0,Summer
144.0,2011-05-24,2.0,0.0,5.0,0.0,2.0,1.0,2.0,0.66,0.604813,0.740833,0.207092,659.0,3833.0,4492.0,Summer
145.0,2011-05-25,2.0,0.0,5.0,0.0,3.0,1.0,1.0,0.660833,0.615542,0.69625,0.154233,740.0,4238.0,4978.0,Summer
146.0,2011-05-26,2.0,0.0,5.0,0.0,4.0,1.0,1.0,0.708333,0.654688,0.6775,0.199642,758.0,3919.0,4677.0,Summer
147.0,2011-05-27,2.0,0.0,5.0,0.0,5.0,1.0,1.0,0.681667,0.637008,0.65375,0.240679,871.0,3808.0,4679.0,Summer
148.0,2011-05-28,2.0,0.0,5.0,0.0,6.0,0.0,1.0,0.655833,0.612379,0.729583,0.230092,2001.0,2757.0,4758.0,Summer
149.0,2011-05-29,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.6675,0.61555,0.81875,0.213938,2266.75,2433.0,4788.0,Summer
150.0,2011-05-30,2.0,0.0,5.0,0.0,1.0,0.0,1.0,0.733333,0.671092,0.685,0.131225,1549.0,2549.0,4098.0,Summer
151.0,2011-05-31,2.0,0.0,5.0,0.0,2.0,1.0,1.0,0.775,0.725383,0.636667,0.111329,673.0,3309.0,3982.0,Summer
152.0,2011-06-01,2.0,0.0,6.0,0.0,3.0,1.0,2.0,0.764167,0.720967,0.677083,0.207092,513.0,3461.0,3974.0,Summer
153.0,2011-06-02,2.0,0.0,6.0,0.0,4.0,1.0,1.0,0.715,0.643942,0.305,0.292287,736.0,4232.0,4968.0,Summer
154.0,2011-06-03,2.0,0.0,6.0,0.0,5.0,1.0,1.0,0.62,0.587133,0.354167,0.253121,898.0,4414.0,5312.0,Summer
155.0,2011-06-04,2.0,0.0,6.0,0.0,6.0,0.0,1.0,0.635,0.594696,0.45625,0.123142,1869.0,3473.0,5342.0,Summer
156.0,2011-06-05,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.648333,0.616804,0.6525,0.138692,1685.0,3221.0,4906.0,Summer
157.0,2011-06-06,2.0,0.0,6.0,0.0,1.0,1.0,1.0,0.678333,0.621858,0.6,0.121896,673.0,3875.0,4548.0,Summer
158.0,2011-06-07,2.0,0.0,6.0,0.0,2.0,1.0,1.0,0.7075,0.65595,0.597917,0.187808,763.0,4070.0,4833.0,Summer
159.0,2011-06-08,2.0,0.0,6.0,0.0,3.0,1.0,1.0,0.775833,0.727279,0.622083,0.136817,676.0,3725.0,4401.0,Summer
160.0,2011-06-09,2.0,0.0,6.0,0.0,4.0,1.0,2.0,0.808333,0.757579,0.568333,0.149883,563.0,3352.0,3915.0,Summer
161.0,2011-06-10,2.0,0.0,6.0,0.0,5.0,1.0,1.0,0.755,0.703292,0.605,0.140554,815.0,3771.0,4586.0,Summer
162.0,2011-06-11,2.0,0.0,6.0,0.0,6.0,0.0,1.0,0.725,0.678038,0.654583,0.15485,1729.0,3237.0,4966.0,Summer
163.0,2011-06-12,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.6925,0.643325,0.747917,0.163567,1467.0,2993.0,4460.0,Summer
164.0,2011-06-13,2.0,0.0,6.0,0.0,1.0,1.0,1.0,0.635,0.601654,0.494583,0.30535,863.0,4157.0,5020.0,Summer
165.0,2011-06-14,2.0,0.0,6.0,0.0,2.0,1.0,1.0,0.604167,0.591546,0.507083,0.269283,727.0,4164.0,4891.0,Summer
166.0,2011-06-15,2.0,0.0,6.0,0.0,3.0,1.0,1.0,0.626667,0.587754,0.471667,0.167912,769.0,4411.0,5180.0,Summer
167.0,2011-06-16,2.0,0.0,6.0,0.0,4.0,1.0,2.0,0.628333,0.595346,0.688333,0.206471,545.0,3222.0,3767.0,Summer
168.0,2011-06-17,2.0,0.0,6.0,0.0,5.0,1.0,1.0,0.649167,0.600383,0.735833,0.143029,863.0,3981.0,4844.0,Summer
169.0,2011-06-18,2.0,0.0,6.0,0.0,6.0,0.0,1.0,0.696667,0.643954,0.670417,0.119408,1807.0,3312.0,5119.0,Summer
170.0,2011-06-19,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.699167,0.645846,0.666667,0.102,1639.0,3105.0,4744.0,Summer
171.0,2011-06-20,2.0,0.0,6.0,0.0,1.0,1.0,2.0,0.635,0.595346,0.74625,0.155475,699.0,3311.0,4010.0,Summer
172.0,2011-06-21,3.0,0.0,6.0,0.0,2.0,1.0,2.0,0.680833,0.637646,0.770417,0.171025,774.0,4061.0,4835.0,Fall
173.0,2011-06-22,3.0,0.0,6.0,0.0,3.0,1.0,1.0,0.733333,0.693829,0.7075,0.172262,661.0,3846.0,4507.0,Fall
174.0,2011-06-23,3.0,0.0,6.0,0.0,4.0,1.0,2.0,0.728333,0.693833,0.703333,0.238804,746.0,4044.0,4790.0,Fall
175.0,2011-06-24,3.0,0.0,6.0,0.0,5.0,1.0,1.0,0.724167,0.656583,0.573333,0.222025,969.0,4022.0,4991.0,Fall
176.0,2011-06-25,3.0,0.0,6.0,0.0,6.0,0.0,1.0,0.695,0.643313,0.483333,0.209571,1782.0,3420.0,5202.0,Fall
177.0,2011-06-26,3.0,0.0,6.0,0.0,0.0,0.0,1.0,0.68,0.637629,0.513333,0.0945333,1920.0,3385.0,5305.0,Fall
178.0,2011-06-27,3.0,0.0,6.0,0.0,1.0,1.0,2.0,0.6825,0.637004,0.658333,0.107588,854.0,3854.0,4708.0,Fall
179.0,2011-06-28,3.0,0.0,6.0,0.0,2.0,1.0,1.0,0.744167,0.692558,0.634167,0.144283,732.0,3916.0,4648.0,Fall
180.0,2011-06-29,3.0,0.0,6.0,0.0,3.0,1.0,1.0,0.728333,0.654688,0.497917,0.261821,848.0,4377.0,5225.0,Fall
